OS,machine_cpu,machine_ram,Graph_name,Graph_type,Graph_size(MB),Graph_nodes(vertices),Graph_edges,Algorithm,exec_time(s),peak_memory,mean_memory,cpu_usage,Disk_read,Disk_write
ubuntu ,4,32,soc-journal,social network,,,,PR10,2.95,652252,,710%,,
ubuntu,4,8,soc-journal,social network,,,,TC,14.83,2492084,,253%,,
ubuntu,4,32,soc-journal,social network,,,,CC,1.23,605216,,107%,,
ubuntu,4,8,soc-journal,social network,,,,CC,0.67,592752,,107%,,
ubuntu,4,32,soc-journal,social network,,,,TC,15.29,1232464,,247%,,
ubuntu,4,32,soc-journal,social network,,,,PR10,5.92,852820,,395%,,
ubuntu,4,32,soc-journal,social network,,,,PR20,05.57,653548,,739%,,
ubuntu,4,32,soc-journal,social network,,,,PR50,12.56,664504,,749%,,
,,,,,,,,,,,,,,
Server,,,,,,,,,,,,,,
ubutnu,6,16,socf-konect.edges,,,,,Convert,"19,04",3179348,,106%,3160728,1445808
,6,16,socf-konect.edges,,,,,PR10,258.95,5626268,,86%,5100032,53910808
,6,16,socf-konect.edges,,,,,PR20,403.04,5742760,,102%,234560,97991048
,6,16,socf-konect.edges,,,,,PR50 ,1001.22,5749440,,81%,0,236565544
,6,16,socf-konect.edges,,,,,CC,31.2,3070800,,104%,2164808,5088024
,6,16,soc-sinawbeio-260M_edge,4GB,,,,convert,55.05,3474212,97%,7751736,4083248,
,6,16,soc-sinawbeio-260M_edge,,,,,PR10,87,654420,131%,,,
,6,16,soc-sinawbeio-260M_edge,,,,,PR20,0.61,654664,129%,,,
,6,16,soc-sinawbeio-260M_edge,,,,,PR50,0.97,654600,137%,,,
,6,16,soc-sinawbeio-260M_edge,,,,,CC,75.69,3096920,64%,2035696,8928920,
,6,16,twitter-2010.bin,,,,,PR10,71,12020120,536%,22943872,536,
,6,16,twitter-2010.bin,,,,,PR20,60,12020104,1168%,,392,
,6,16,twitter-2010.bin,,,,,PR50,151.93,12029968,1177%,136,424,
,6,16,twitter-2010.bin,,,,,CC,20.82,11669348,100%,,160,
